dbms,table_catalog,table_schema,table_name,column_name,ordinal_position,data_type,character_maximum_length,numeric_precision,numeric_scale,is_nullable,constraint_type,foreign_table_schema,foreign_table_name,foreign_column_name
postgresql,lms_db,public,django_migrations,id,1,bigint,,64,0,NO,PRIMARY KEY,,,
postgresql,lms_db,public,django_migrations,app,2,character varying,255,,,NO,,,,
postgresql,lms_db,public,django_migrations,name,3,character varying,255,,,NO,,,,
postgresql,lms_db,public,django_migrations,applied,4,timestamp with time zone,,,,NO,,,,
postgresql,lms_db,public,django_content_type,id,1,integer,,32,0,NO,PRIMARY KEY,,,
postgresql,lms_db,public,django_content_type,app_label,3,character varying,100,,,NO,UNIQUE,,,
postgresql,lms_db,public,django_content_type,model,4,character varying,100,,,NO,UNIQUE,,,
postgresql,lms_db,public,auth_permission,id,1,integer,,32,0,NO,PRIMARY KEY,,,
postgresql,lms_db,public,auth_permission,name,2,character varying,255,,,NO,,,,
postgresql,lms_db,public,auth_permission,content_type_id,3,integer,,32,0,NO,UNIQUE,,,
postgresql,lms_db,public,auth_permission,content_type_id,3,integer,,32,0,NO,FOREIGN KEY,public,django_content_type,id
postgresql,lms_db,public,auth_permission,codename,4,character varying,100,,,NO,UNIQUE,,,
postgresql,lms_db,public,auth_group,id,1,integer,,32,0,NO,PRIMARY KEY,,,
postgresql,lms_db,public,auth_group,name,2,character varying,150,,,NO,UNIQUE,,,
postgresql,lms_db,public,auth_group_permissions,id,1,bigint,,64,0,NO,PRIMARY KEY,,,
postgresql,lms_db,public,auth_group_permissions,group_id,2,integer,,32,0,NO,UNIQUE,,,
postgresql,lms_db,public,auth_group_permissions,group_id,2,integer,,32,0,NO,FOREIGN KEY,public,auth_group,id
postgresql,lms_db,public,auth_group_permissions,permission_id,3,integer,,32,0,NO,UNIQUE,,,
postgresql,lms_db,public,auth_group_permissions,permission_id,3,integer,,32,0,NO,FOREIGN KEY,public,auth_permission,id
postgresql,lms_db,public,core_category,id,1,bigint,,64,0,NO,PRIMARY KEY,,,
postgresql,lms_db,public,core_category,name,2,character varying,100,,,NO,UNIQUE,,,
postgresql,lms_db,public,core_category,description,3,text,,,,NO,,,,
postgresql,lms_db,public,core_category,created_at,4,timestamp with time zone,,,,NO,,,,
postgresql,lms_db,public,core_book,id,1,bigint,,64,0,NO,PRIMARY KEY,,,
postgresql,lms_db,public,core_book,title,2,character varying,200,,,NO,,,,
postgresql,lms_db,public,core_book,author,3,character varying,100,,,NO,,,,
postgresql,lms_db,public,core_book,isbn,4,character varying,13,,,NO,UNIQUE,,,
postgresql,lms_db,public,core_book,genre,5,character varying,20,,,NO,,,,
postgresql,lms_db,public,core_book,publication_date,6,date,,,,NO,,,,
postgresql,lms_db,public,core_book,publisher,7,character varying,100,,,NO,,,,
postgresql,lms_db,public,core_book,total_copies,8,integer,,32,0,NO,,,,
postgresql,lms_db,public,core_book,available_copies,9,integer,,32,0,NO,,,,
postgresql,lms_db,public,core_book,description,10,text,,,,NO,,,,
postgresql,lms_db,public,core_book,cover_image,11,character varying,100,,,YES,,,,
postgresql,lms_db,public,core_book,language,12,character varying,50,,,NO,,,,
postgresql,lms_db,public,core_book,pages,13,integer,,32,0,YES,,,,
postgresql,lms_db,public,core_book,created_at,14,timestamp with time zone,,,,NO,,,,
postgresql,lms_db,public,core_book,updated_at,15,timestamp with time zone,,,,NO,,,,
postgresql,lms_db,public,core_book,category_id,16,bigint,,64,0,YES,FOREIGN KEY,public,core_category,id
postgresql,lms_db,public,core_user,id,1,bigint,,64,0,NO,PRIMARY KEY,,,
postgresql,lms_db,public,core_user,password,2,character varying,128,,,NO,,,,
postgresql,lms_db,public,core_user,last_login,3,timestamp with time zone,,,,YES,,,,
postgresql,lms_db,public,core_user,is_superuser,4,boolean,,,,NO,,,,
postgresql,lms_db,public,core_user,username,5,character varying,150,,,NO,UNIQUE,,,
postgresql,lms_db,public,core_user,first_name,6,character varying,150,,,NO,,,,
postgresql,lms_db,public,core_user,last_name,7,character varying,150,,,NO,,,,
postgresql,lms_db,public,core_user,email,8,character varying,254,,,NO,,,,
postgresql,lms_db,public,core_user,is_staff,9,boolean,,,,NO,,,,
postgresql,lms_db,public,core_user,is_active,10,boolean,,,,NO,,,,
postgresql,lms_db,public,core_user,date_joined,11,timestamp with time zone,,,,NO,,,,
postgresql,lms_db,public,core_user,user_type,12,character varying,10,,,NO,,,,
postgresql,lms_db,public,core_user,phone_number,13,character varying,15,,,NO,,,,
postgresql,lms_db,public,core_user,address,14,text,,,,NO,,,,
postgresql,lms_db,public,core_user,date_of_birth,15,date,,,,YES,,,,
postgresql,lms_db,public,core_user,is_verified,16,boolean,,,,NO,,,,
postgresql,lms_db,public,core_user,created_at,17,timestamp with time zone,,,,NO,,,,
postgresql,lms_db,public,core_user,updated_at,18,timestamp with time zone,,,,NO,,,,
postgresql,lms_db,public,core_user_groups,id,1,bigint,,64,0,NO,PRIMARY KEY,,,
postgresql,lms_db,public,core_user_groups,user_id,2,bigint,,64,0,NO,UNIQUE,,,
postgresql,lms_db,public,core_user_groups,user_id,2,bigint,,64,0,NO,FOREIGN KEY,public,core_user,id
postgresql,lms_db,public,core_user_groups,group_id,3,integer,,32,0,NO,UNIQUE,,,
postgresql,lms_db,public,core_user_groups,group_id,3,integer,,32,0,NO,FOREIGN KEY,public,auth_group,id
postgresql,lms_db,public,core_user_user_permissions,id,1,bigint,,64,0,NO,PRIMARY KEY,,,
postgresql,lms_db,public,core_user_user_permissions,user_id,2,bigint,,64,0,NO,UNIQUE,,,
postgresql,lms_db,public,core_user_user_permissions,user_id,2,bigint,,64,0,NO,FOREIGN KEY,public,core_user,id
postgresql,lms_db,public,core_user_user_permissions,permission_id,3,integer,,32,0,NO,UNIQUE,,,
postgresql,lms_db,public,core_user_user_permissions,permission_id,3,integer,,32,0,NO,FOREIGN KEY,public,auth_permission,id
postgresql,lms_db,public,core_borrowrecord,id,1,bigint,,64,0,NO,PRIMARY KEY,,,
postgresql,lms_db,public,core_borrowrecord,borrow_date,2,date,,,,NO,,,,
postgresql,lms_db,public,core_borrowrecord,due_date,3,date,,,,NO,,,,
postgresql,lms_db,public,core_borrowrecord,return_date,4,date,,,,YES,,,,
postgresql,lms_db,public,core_borrowrecord,is_returned,5,boolean,,,,NO,,,,
postgresql,lms_db,public,core_borrowrecord,fine_amount,6,numeric,,8,2,NO,,,,
postgresql,lms_db,public,core_borrowrecord,notes,7,text,,,,NO,,,,
postgresql,lms_db,public,core_borrowrecord,created_at,8,timestamp with time zone,,,,NO,,,,
postgresql,lms_db,public,core_borrowrecord,updated_at,9,timestamp with time zone,,,,NO,,,,
postgresql,lms_db,public,core_borrowrecord,book_id,10,bigint,,64,0,NO,FOREIGN KEY,public,core_book,id
postgresql,lms_db,public,core_borrowrecord,borrower_id,11,bigint,,64,0,NO,FOREIGN KEY,public,core_user,id
postgresql,lms_db,public,core_notification,id,1,bigint,,64,0,NO,PRIMARY KEY,,,
postgresql,lms_db,public,core_notification,title,2,character varying,200,,,NO,,,,
postgresql,lms_db,public,core_notification,message,3,text,,,,NO,,,,
postgresql,lms_db,public,core_notification,is_read,4,boolean,,,,NO,,,,
postgresql,lms_db,public,core_notification,notification_type,5,character varying,20,,,NO,,,,
postgresql,lms_db,public,core_notification,created_at,6,timestamp with time zone,,,,NO,,,,
postgresql,lms_db,public,core_notification,user_id,7,bigint,,64,0,NO,FOREIGN KEY,public,core_user,id
postgresql,lms_db,public,core_reservation,id,1,bigint,,64,0,NO,PRIMARY KEY,,,
postgresql,lms_db,public,core_reservation,reservation_date,2,timestamp with time zone,,,,NO,,,,
postgresql,lms_db,public,core_reservation,status,3,character varying,10,,,NO,UNIQUE,,,
postgresql,lms_db,public,core_reservation,expiry_date,4,timestamp with time zone,,,,NO,,,,
postgresql,lms_db,public,core_reservation,notification_sent,5,boolean,,,,NO,,,,
postgresql,lms_db,public,core_reservation,created_at,6,timestamp with time zone,,,,NO,,,,
postgresql,lms_db,public,core_reservation,book_id,7,bigint,,64,0,NO,UNIQUE,,,
postgresql,lms_db,public,core_reservation,book_id,7,bigint,,64,0,NO,FOREIGN KEY,public,core_book,id
postgresql,lms_db,public,core_reservation,user_id,8,bigint,,64,0,NO,UNIQUE,,,
postgresql,lms_db,public,core_reservation,user_id,8,bigint,,64,0,NO,FOREIGN KEY,public,core_user,id
postgresql,lms_db,public,core_fine,id,1,bigint,,64,0,NO,PRIMARY KEY,,,
postgresql,lms_db,public,core_fine,amount,2,numeric,,8,2,NO,,,,
postgresql,lms_db,public,core_fine,is_paid,3,boolean,,,,NO,,,,
postgresql,lms_db,public,core_fine,paid_date,4,timestamp with time zone,,,,YES,,,,
postgresql,lms_db,public,core_fine,created_at,5,timestamp with time zone,,,,NO,,,,
postgresql,lms_db,public,core_fine,updated_at,6,timestamp with time zone,,,,NO,,,,
postgresql,lms_db,public,core_fine,borrow_record_id,7,bigint,,64,0,YES,UNIQUE,,,
postgresql,lms_db,public,core_fine,borrow_record_id,7,bigint,,64,0,YES,FOREIGN KEY,public,core_borrowrecord,id
postgresql,lms_db,public,core_fine,user_id,8,bigint,,64,0,NO,FOREIGN KEY,public,core_user,id
postgresql,lms_db,public,django_admin_log,id,1,integer,,32,0,NO,PRIMARY KEY,,,
postgresql,lms_db,public,django_admin_log,action_time,2,timestamp with time zone,,,,NO,,,,
postgresql,lms_db,public,django_admin_log,object_id,3,text,,,,YES,,,,
postgresql,lms_db,public,django_admin_log,object_repr,4,character varying,200,,,NO,,,,
postgresql,lms_db,public,django_admin_log,action_flag,5,smallint,,16,0,NO,,,,
postgresql,lms_db,public,django_admin_log,change_message,6,text,,,,NO,,,,
postgresql,lms_db,public,django_admin_log,content_type_id,7,integer,,32,0,YES,FOREIGN KEY,public,django_content_type,id
postgresql,lms_db,public,django_admin_log,user_id,8,bigint,,64,0,NO,FOREIGN KEY,public,core_user,id
postgresql,lms_db,public,django_session,session_key,1,character varying,40,,,NO,PRIMARY KEY,,,
postgresql,lms_db,public,django_session,session_data,2,text,,,,NO,,,,
postgresql,lms_db,public,django_session,expire_date,3,timestamp with time zone,,,,NO,,,,
